,weekday,hour,region,count,total_amount_sum,duration_min,duration_sum,duration_max
317,1,21,3,7536,72951.67,0,2852350,86274
318,1,21,4,2428,19540.999999999996,1,851021,86233
319,1,21,5,4924,37756.81999999995,1,1298537,86325
320,1,21,6,707,6009.930000000001,3,258029,86170
321,1,21,7,101,1203.69,3,24502,1493
322,1,22,1,661,7049.18,2,169187,2059
323,1,22,2,2079,19116.329999999994,0,603032,80725
324,1,22,3,6727,63593.219999999936,0,2652984,86176
325,1,22,4,1894,15792.010000000002,2,818339,86371
326,1,22,5,3661,29107.589999999975,1,1094053,86340
327,1,22,6,679,5569.730000000003,3,332377,86311
328,1,22,7,141,1401.9199999999996,3,109519,75051
329,1,23,1,551,7558.41,0,130912,3136
330,1,23,2,1860,17267.050000000003,1,524337,85968
331,1,23,3,4876,48641.96999999994,1,1824065,86340
332,1,23,4,1011,10081.650000000001,2,496290,85659
333,1,23,5,1977,17103.160000000003,0,429176,6697
334,1,23,6,597,4750.78,1,129401,4090
335,1,23,7,118,1312.9400000000003,3,116220,86035
336,2,0,1,325,4230.88,2,249610,83781
337,2,0,2,1437,14567.310000000003,1,516243,86266
338,2,0,3,3362,35087.84999999996,0,987930,85987
339,2,0,4,552,6787.91,3,198020,83074
340,2,0,5,1011,9295.660000000005,1,289144,86152
341,2,0,6,520,4346.58,3,222554,86052
342,2,0,7,85,1168.86,3,105922,85130
343,2,1,1,202,2689.0900000000006,2,57866,2119
344,2,1,2,1034,10558.750000000002,2,749770,86318
345,2,1,3,2145,24688.619999999988,1,680836,85543
346,2,1,4,286,3384.7,2,56804,2395
347,2,1,5,610,5723.929999999999,1,123836,6054
348,2,1,6,380,3728.5999999999995,3,324876,85958
349,2,1,7,47,968.7799999999999,3,11084,1501
350,2,2,1,121,1360.82,4,40141,3641
351,2,2,2,808,6534.220000000002,0,519470,83927
352,2,2,3,1490,15854.230000000001,2,819902,86248
353,2,2,4,144,1246.54,2,29908,2069
354,2,2,5,334,2336.7399999999993,2,61732,3834
355,2,2,6,246,2187.77,2,50857,1972
356,2,2,7,29,403.52000000000004,3,91200,85986
357,2,3,1,90,1135.89,1,18501,1548
358,2,3,2,514,4372.87,3,378760,85329
359,2,3,3,1203,11727.629999999997,1,496283,84681
360,2,3,4,135,1274.45,1,30893,1673
361,2,3,5,277,2206.0299999999997,1,51483,1860
362,2,3,6,160,1383.7800000000002,1,35305,1988
363,2,3,7,18,300.71000000000004,10,2702,541
364,2,4,1,78,778.5999999999998,2,14671,1435
365,2,4,2,385,2923.3199999999997,2,248316,85708
366,2,4,3,996,9260.810000000001,2,194172,3897
367,2,4,4,100,1030.1999999999998,2,22375,3238
368,2,4,5,334,2364.469999999999,3,142651,85991
369,2,4,6,142,1297.0699999999997,2,29536,2500
370,2,4,7,29,305.1,6,4701,408
371,2,5,1,156,1221.7899999999997,2,95377,65361
372,2,5,2,264,2358.2099999999996,0,49956,2416
373,2,5,3,1440,11896.590000000006,0,266180,2139
374,2,5,4,343,2679.84,2,64778,2691
375,2,5,5,1048,8003.750000000002,2,185037,6393
376,2,5,6,190,1259.67,3,123046,86009
377,2,5,7,28,183.80000000000004,8,6297,599
378,2,6,1,456,3497.8599999999997,3,271684,85013
379,2,6,2,448,4323.93,2,166615,83493
380,2,6,3,3710,28840.439999999966,0,1428827,86026
381,2,6,4,792,6225.300000000002,2,397244,83121
382,2,6,5,2515,16303.58,1,808686,83482
383,2,6,6,419,3388.1900000000005,5,97925,3612
384,2,6,7,72,632.25,5,99853,83204
385,2,7,1,1102,9928.380000000001,2,879391,85890
386,2,7,2,938,9123.930000000004,1,669814,85426
387,2,7,3,7537,60332.25999999992,1,2726227,83558
388,2,7,4,1879,15750.389999999996,0,789308,84111
389,2,7,5,6739,50872.27999999992,2,3218816,86270
390,2,7,6,1370,10048.130000000005,2,899810,86303
391,2,7,7,141,1302.2,3,44157,2097
392,2,8,1,1568,13129.970000000001,3,797546,86282
393,2,8,2,1384,11611.770000000004,0,478187,85380
394,2,8,3,10212,82294.62000000007,1,3978344,86170
395,2,8,4,3180,24091.27999999998,1,1065586,85896
396,2,8,5,9828,70421.75000000001,1,4028170,86335
397,2,8,6,1547,10862.970000000003,1,857883,86221
398,2,8,7,181,1302.2399999999998,7,138474,83432
399,2,9,1,1523,12106.950000000004,2,944846,86350
400,2,9,2,1684,12973.140000000003,1,457504,4096
401,2,9,3,10658,88616.65000000015,1,4638141,86310
402,2,9,4,2923,20445.309999999994,2,1156966,86179
403,2,9,5,8427,58230.89999999989,1,3250203,86358
404,2,9,6,847,5904.219999999999,3,300592,86292
