VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,02/08/2018 06:43:13 AM,02/08/2018 07:01:04 AM,1,8.1,1,N,236,87,1,24.5,0,0.5,5.06,0,0.3,30.36
2,02/08/2018 06:39:36 AM,02/08/2018 06:48:28 AM,1,1.54,1,N,141,162,1,8,0,0.5,1.76,0,0.3,10.56
2,02/08/2018 06:50:18 AM,02/08/2018 06:57:52 AM,1,1.35,1,N,170,68,2,7.5,0,0.5,0,0,0.3,8.3
1,02/08/2018 06:09:13 AM,02/08/2018 06:19:38 AM,1,2,1,N,186,229,1,9,0,0.5,2.45,0,0.3,12.25
1,02/08/2018 06:35:27 AM,02/08/2018 06:41:09 AM,1,1.1,1,N,186,107,1,6,0,0.5,1.35,0,0.3,8.15
1,02/08/2018 06:45:01 AM,02/08/2018 06:52:12 AM,1,1.3,1,N,107,161,1,7,0,0.5,1.55,0,0.3,9.35
1,02/08/2018 06:04:46 AM,02/08/2018 06:11:06 AM,1,1.2,1,N,48,170,1,6.5,0,0.5,1,0,0.3,8.3
1,02/08/2018 06:34:46 AM,02/08/2018 06:44:03 AM,1,1.4,1,N,100,162,2,8,0,0.5,0,0,0.3,8.8
1,02/08/2018 06:44:55 AM,02/08/2018 06:53:46 AM,1,1.5,1,N,162,237,1,8,0,0.5,0,0,0.3,8.8
1,02/08/2018 06:54:33 AM,02/08/2018 07:04:24 AM,1,1.6,1,N,237,238,1,9,0,0.5,2.9,0,0.3,12.7
2,02/08/2018 06:13:40 AM,02/08/2018 06:49:22 AM,3,9.96,1,N,166,138,1,34.5,0,0.5,4,5.76,0.3,45.06
2,02/08/2018 06:32:46 AM,02/08/2018 06:48:49 AM,1,4.14,1,N,75,186,1,15.5,0,0.5,3.26,0,0.3,19.56
2,02/08/2018 06:50:39 AM,02/08/2018 06:57:54 AM,1,1.41,1,N,186,161,1,7,0,0.5,1.56,0,0.3,9.36
1,02/08/2018 06:47:21 AM,02/08/2018 06:59:16 AM,1,2.4,1,N,249,230,1,10.5,0,0.5,1.2,0,0.3,12.5
2,02/08/2018 06:28:05 AM,02/08/2018 07:01:22 AM,1,6.46,1,N,79,151,2,25,0,0.5,0,0,0.3,25.8
1,02/08/2018 06:25:56 AM,02/08/2018 06:56:11 AM,1,9.4,1,N,161,138,1,31,0,0.5,0,0,0.3,31.8
1,02/08/2018 06:48:46 AM,02/08/2018 06:52:32 AM,1,0.8,1,N,234,170,1,5,0,0.5,1,0,0.3,6.8
1,02/08/2018 06:27:05 AM,02/08/2018 06:32:46 AM,1,1.2,1,N,186,161,1,6.5,0,0.5,1.5,0,0.3,8.8
1,02/08/2018 06:40:15 AM,02/08/2018 06:49:35 AM,1,1.1,1,N,186,170,1,7.5,0,0.5,1.65,0,0.3,9.95
1,02/08/2018 06:51:55 AM,02/08/2018 07:01:09 AM,1,1.9,1,N,170,113,1,8.5,0,0.5,1.85,0,0.3,11.15
2,02/08/2018 06:30:00 AM,02/08/2018 06:37:33 AM,2,4.7,1,N,88,170,1,14.5,0,0.5,2,0,0.3,17.3
2,02/08/2018 06:30:51 AM,02/08/2018 07:13:30 AM,1,17.08,2,N,132,164,1,52,0,0.5,11.71,5.76,0.3,70.27
1,02/08/2018 06:12:52 AM,02/08/2018 07:00:32 AM,1,14.2,2,N,215,45,1,52,0,0.5,10.55,0,0.3,63.35
1,02/08/2018 06:03:15 AM,02/08/2018 06:40:33 AM,1,16.7,2,N,132,107,1,52,0,0.5,11.7,5.76,0.3,70.26
